z,iou,centroid_drift_px
1574,0.04763796683156896,181.992058126912
1575,0.0718155725753227,183.09838728714274
1576,0.09555626259412452,184.70508788051902
1577,0.0869748893169759,169.64891822688202
1578,0.11191652748842094,182.13469848586695
1579,0.06765340015150632,156.60155585379232
1580,0.970474293593644,1.1420935048470988
1581,0.9739060995373089,1.337964667230858
1582,0.9822973853168326,0.6960904208371869
1583,0.7187669010275824,56.04824896796066
1584,0.9680851063829787,0.4726904229815158
1585,0.9386975940066273,1.8738672317170222
1586,0.8904394436486299,9.438939811825351
1587,0.9402806652806652,0.8118109080092324
1588,0.9374412041392286,4.642293734939168
1589,0.8621979087320822,4.968799359087781
1590,0.4927403965817639,41.850528992915585
1591,0.9597305275906441,0.9349710971200988
1592,0.9162398550153652,2.9346682719581643
1593,0.9586392559960842,0.5533817269072507
1594,0.9683056636746366,0.09845568395798997
1595,0.9870808535346204,0.23890043715121212
1596,0.9654780687914168,1.2700655200774489
1597,0.9764726487243856,0.5694704066136264
1598,0.9831629250944655,1.0664757098705204
1599,0.9821283095723015,0.36801285669929906
1600,0.9802967192399494,0.256294775501167
1601,0.9760893854748603,0.7284473044961236
1602,0.979780006470398,0.5784682390188489
1603,0.9659714599341384,1.097309235643124
1604,0.984725050916497,0.26180424919186956
1605,0.9749701595109777,0.4435470897970943
1606,0.9637237281296996,0.3280611736029802
1607,0.9583094438528954,0.30983297057842735
1608,0.9855299539170507,0.7741882404726136
1609,0.956343438538206,0.20492197079967858
1610,0.9648983578536109,0.4094704066288311
1611,0.9385138670852956,1.690221778241677
1612,0.9413527744025921,0.27773694703952584
1613,0.9525186567164179,0.5674901349724851
1614,0.9607946184570108,0.49948103312279557
1615,0.9783102430161253,0.4242419068369002
1616,0.9748964172556666,0.2529513700450119
1617,0.986545853926414,0.1264169738191138
1618,0.9897053146313216,0.07906924495011985
1619,0.9886131013306039,0.10682913118681847
1620,0.9938581098019553,0.10794228232416023
1621,0.9865382510670898,0.24390570186559846
1622,0.989343291738774,0.11080405311528164
1623,0.9927530523828278,0.1534458729487694
1624,0.9859353023909986,0.10305317209494597
1625,0.9785688339992735,0.5319374935950765
1626,0.9895218295218295,0.08843294838608769
1627,0.9749905553456744,0.18938870681675865
1628,0.9856191341204965,0.30557544102509365
